metro,state,year,AG,ENT,CON,SOC,FIN,INF,MAN,MIN,BUS,RET,TRA,UTL,WHO,GOV,NAT,TOT
Abilene, TX ,2001,0,178,241,566,361,0,231,388,234,389,0,0,297,1234,0,15599
Abilene,,2002,0,178,243,579,428,0,232,379,232,379,0,0,355,1288,0,16182
Abilene,,2003,0,179,241,609,428,0,215,404,248,398,100,153,372,1269,0,16752
Abilene,,2004,0,187,236,644,406,0,249,393,251,398,106,148,413,1260,0,17159
Abilene,,2005,57,195,245,0,421,0,264,406,260,428,107,142,349,1223,452,20595
Abilene,,2006,27,200,248,634,462,0,285,485,0,438,113,147,373,1216,509,22203
Abilene,,2007,62,199,264,0,505,0,317,528,276,441,118,151,390,1222,578,22786
Abilene,,2008,34,201,318,647,553,0,305,598,312,443,0,0,327,1203,627,23457
Abilene,,2009,0,194,303,674,583,0,281,497,295,421,0,0,285,1228,0,17809
Abilene,,2010,0,197,270,668,558,0,277,0,296,431,0,0,292,1256,0,21542
Abilene,,2011,0,209,278,654,546,0,258,595,322,430,123,110,314,1243,0,18726
Abilene,,2012,0,220,300,660,645,0,263,783,333,443,140,144,353,1243,0,20410
Abilene,,2013,0,0,324,663,665,171,266,862,346,471,141,154,403,1216,0,22356
Akron, OH ,2001,0,940,1461,2389,3542,461,4835,0,3180,2034,0,0,1890,3604,135,132573
Akron,,2002,0,936,1342,2442,3672,479,4949,0,3545,2083,0,0,1916,3634,163,137330
Akron,,2003,0,947,1315,2471,3689,542,5329,0,3970,2193,0,0,2100,3644,149,136258
Akron,,2004,0,972,1309,2560,3699,625,5805,0,3844,2356,0,0,2239,3619,181,140990
Akron,,2005,0,945,1217,2598,3936,675,5793,0,4096,2389,814,578,2490,3604,165,153531
Akron,,2006,19,925,1173,2706,3795,697,5853,145,4126,2257,0,0,2672,3484,164,152310
Akron,,2007,18,922,1101,2699,3645,752,5946,171,4207,2194,836,624,2714,3469,189,152310
Akron,,2008,17,844,979,2850,3783,772,5350,125,4614,2109,0,0,2680,3546,142,150202
Akron,,2009,24,790,905,2820,4208,764,4358,126,4251,1915,0,0,2237,3540,150,140209
Akron,,2010,13,811,892,2839,4219,724,4582,121,4442,1946,0,0,2361,3553,133,144849
Akron,,2011,13,833,925,2948,4183,726,4961,116,4510,1954,0,0,2439,3474,128,147280
Akron,,2012,13,840,986,3018,4201,716,4758,80,4598,2002,0,0,2530,3459,94,148934
Akron,,2013,17,851,931,3080,4339,751,4607,95,4682,2055,0,0,2592,3424,113,149701
Albany-Schenectady-Troy, NY ,2001,0,1068,0,3792,4912,1254,3525,0,4515,2352,0,0,0,10333,184,154581
Albany-Schenectady-Troy,,2002,0,1151,0,3885,5077,1293,3344,0,4700,2458,0,0,0,10031,171,156552
Albany-Schenectady-Troy,,2003,0,1166,2149,4125,5422,1425,3079,0,4701,2713,0,0,0,9937,0,163742
Albany-Schenectady-Troy,,2004,0,1218,2133,4216,5974,1594,3415,0,4644,2839,0,0,0,9831,0,169556
Albany-Schenectady-Troy,,2005,0,1210,2039,4198,6115,1737,0,0,4824,2890,0,0,0,9680,174,169140
Albany-Schenectady-Troy,,2006,0,1277,1920,4239,6101,1880,3929,0,4862,2827,0,0,0,9559,0,178154
Albany-Schenectady-Troy,,2007,0,1287,1909,4220,0,1889,0,0,4894,2778,0,0,0,9621,158,163407
Albany-Schenectady-Troy,,2008,0,1279,1967,4438,5314,1653,3787,0,5228,2737,0,0,0,9905,0,174741
Albany-Schenectady-Troy,,2009,0,1209,2041,4636,6528,1734,3897,0,5051,2690,0,0,0,9972,0,178728
Albany-Schenectady-Troy,,2010,0,1276,2080,4573,6371,1750,0,0,4941,2800,0,0,0,10106,149,174902
Albany-Schenectady-Troy,,2011,0,1318,2099,4589,6562,1790,0,0,5018,2806,911,0,2093,9721,146,182431
Albany-Schenectady-Troy,,2012,0,1357,2166,4607,6949,1736,0,0,5121,2815,932,784,2167,9564,0,188299
Albany-Schenectady-Troy,,2013,53,1301,2197,4657,7063,1712,4366,130,5123,2724,0,0,0,9892,180,196694
Albany, GA ,2001,0,143,325,446,0,0,1243,0,345,362,0,0,0,1032,141,19999
Albany,,2002,0,131,0,460,0,0,0,0,339,371,0,0,0,1043,159,18387
Albany,,2003,0,137,0,473,0,0,0,0,334,401,0,0,0,1063,172,18337
